open,high,low,close,volume,quote_volume,trades,close_datetime
63487.99,63663.0,63474.96,63617.78,392.69738,24957665.3707108,24288,2024-07-01 03:44:59.999000+02:00
63617.77,63730.0,63540.82,63640.82,570.26562,36282956.354444,21435,2024-07-01 03:59:59.999000+02:00
63640.81,63818.33,63375.3,63527.49,1027.20191,65384836.8979894,34945,2024-07-01 04:14:59.999000+02:00
63527.49,63614.24,63513.51,63572.54,399.97999,25422960.3404168,16635,2024-07-01 04:29:59.999000+02:00
63572.54,63605.55,63349.6,63390.0,429.59248,27260224.4144619,20326,2024-07-01 04:44:59.999000+02:00
63389.99,63448.0,63288.53,63435.86,180.55793,11441058.3447247,16257,2024-07-01 04:59:59.999000+02:00
63435.86,63536.47,63376.4,63457.38,377.81124,23978541.4560746,13381,2024-07-01 05:14:59.999000+02:00
63457.38,63518.34,63395.99,63456.92,461.83632,29306842.655436,12326,2024-07-01 05:29:59.999000+02:00
63456.92,63468.0,63340.0,63371.72,256.6094,16270848.9112871,10131,2024-07-01 05:44:59.999000+02:00
63371.72,63477.28,63371.71,63437.69,168.20585,10670180.5370044,9325,2024-07-01 05:59:59.999000+02:00
63437.69,63466.92,63364.01,63395.16,153.62747,9740897.3085108,11687,2024-07-01 06:14:59.999000+02:00
63395.16,63438.26,63340.0,63347.99,92.30793,5851546.8333316,7933,2024-07-01 06:29:59.999000+02:00
63347.99,63363.7,63223.25,63229.82,180.4943,11421791.7635574,13475,2024-07-01 06:44:59.999000+02:00
63229.81,63306.0,63223.2,63279.79,90.7231,5738915.0137684,8822,2024-07-01 06:59:59.999000+02:00
63279.79,63365.73,63262.0,63340.31,112.77185,7141233.5121066,6834,2024-07-01 07:14:59.999000+02:00
63340.31,63425.47,63320.0,63387.73,94.74246,6004327.830058,8370,2024-07-01 07:29:59.999000+02:00
63387.73,63457.47,63375.57,63392.01,133.63637,8473843.9989564,7631,2024-07-01 07:44:59.999000+02:00
63392.01,63447.98,63392.0,63432.94,77.11424,4890436.3143164,7524,2024-07-01 07:59:59.999000+02:00
